player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_overall_tackle,less_grades_pass,less_grades_pass_route,less_grades_run,less_grades_run_defense,less_grades_tackle,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_overall_tackle,more_grades_pass,more_grades_pass_route,more_grades_run,more_grades_run_defense,more_grades_tackle,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Zach Calzada,98006,QB,INCAR WORD,1,2.65,2.36,4.6,5.28,57,189,92.3,26,27,2.3,1.67,1,0,0.0,85.2,23,1,4.2,27,47.4,1,7,,,,,67.9,71.8,73.4,,71.3,,,,,0,0,27,0.0,87.0,0.0,0,0,0,0,0,0,0.0,132,4.9,69.6,23,24,10.0,3.53,1,1,4.2,58.3,14,15,12.5,30,52.6,2,8,,,,,68.3,60.2,73.9,,60.2,,59.4,,,0,1,31,13.3,68.9,6.7,2,4,0,0,1,1,3.2,125,5.2
Miles Hastings,103943,QB,UC DAVIS,1,2.67,2.57,4.0,4.9,55,322,82.6,23,23,4.0,1.92,0,0,0.0,82.6,19,2,0.0,23,41.8,0,10,,,,,67.6,61.3,73.0,,60.9,,,,,0,2,24,0.0,89.9,0.0,0,0,0,0,2,3,12.5,168,7.3,76.9,26,29,6.8,3.2,0,1,3.3,69.0,20,8,0.0,32,58.2,0,12,,,,,68.5,67.4,74.2,,68.7,,57.0,,,0,3,33,25.0,56.9,6.3,2,1,0,3,1,2,6.1,177,6.1
Cade Klubnik,156253,QB,CLEMSON,1,2.77,2.68,3.27,5.1,47,140,75.0,20,21,6.6,1.95,1,3,13.6,66.7,14,3,6.7,21,44.7,1,7,,,,,67.4,85.7,72.7,,84.9,,,,,0,0,22,0.0,107.2,0.0,0,0,0,0,1,1,4.5,170,8.1,57.1,21,22,10.2,3.43,0,2,9.1,54.5,12,11,0.0,26,55.3,0,9,,,,,23.8,73.8,73.3,,72.2,,61.7,,,0,1,26,27.3,90.3,11.5,3,1,0,1,2,1,3.8,166,7.5
Nico Iamaleava,174728,QB,TENNESSEE,1,3.28,2.64,3.13,5.56,44,307,91.7,12,15,5.8,1.74,3,1,6.7,60.0,9,2,18.2,16,36.4,2,1,,,,,66.4,72.9,71.6,,72.4,,,,,0,0,16,50.0,64.6,6.3,1,0,0,0,0,0,0.0,45,3.0,31.3,16,16,14.4,4.16,0,0,0.0,31.3,5,17,0.0,28,63.6,0,5,,,,,68.1,44.3,73.6,,47.1,,52.2,,,0,0,29,17.6,43.5,10.7,3,9,0,0,0,1,3.4,59,3.7
Riley Leonard,143862,QB,NOTRE DAME,1,3.19,2.65,5.47,5.28,40,258,100.0,13,14,2.5,1.79,1,0,0.0,85.7,12,1,7.7,14,35.0,1,5,,,,,66.2,83.9,71.2,,83.3,,,,,0,0,14,0.0,116.1,0.0,0,0,0,0,1,0,0.0,86,6.1,80.0,15,18,8.2,3.94,0,1,5.3,61.1,11,17,8.3,26,65.0,1,9,,,,,67.9,65.0,73.4,,66.2,,58.9,,,2,1,27,17.6,55.8,11.5,3,5,0,1,0,0,0.0,112,6.2
Kevin Jennings,158272,QB,SMU,1,3.31,3.28,3.63,3.5,40,287,80.0,15,15,1.7,1.81,0,1,6.7,66.7,10,1,16.7,15,37.5,2,5,,,,,66.4,61.3,71.4,,61.0,,,,,0,2,15,0.0,40.6,0.0,0,0,0,0,0,1,6.7,81,5.4,66.7,15,21,12.3,4.21,0,2,7.7,47.6,10,18,0.0,25,62.5,0,6,,,,,68.2,52.6,73.7,,53.8,,57.3,,,0,1,30,16.7,60.4,12.0,3,1,0,6,1,2,6.7,114,5.4
Kurtis Rourke,97998,QB,INDIANA,1,2.48,2.32,3.8,3.9,37,190,71.4,21,23,9.0,2.0,2,1,4.2,65.2,15,3,0.0,24,64.9,0,8,,,,,67.7,61.8,73.1,,61.5,,,,,0,0,25,33.3,111.1,4.2,1,0,0,0,2,0,0.0,142,6.2,50.0,10,10,13.5,3.37,0,0,0.0,50.0,5,5,0.0,13,35.1,0,4,,,,,66.5,49.4,71.6,,46.4,,63.2,,,0,1,16,40.0,34.6,15.4,2,1,0,0,0,2,12.5,73,7.3
Jack Layne,158966,QB,IDAHO,1,2.37,2.42,2.85,,32,185,100.0,14,16,2.6,1.63,1,0,0.0,81.3,13,2,7.1,16,50.0,1,5,,,,,66.5,80.9,71.6,,80.3,,,,,1,0,16,0.0,87.2,0.0,0,0,0,0,0,0,0.0,79,4.9,58.3,12,13,15.9,3.31,0,1,7.1,46.2,6,7,14.3,15,46.9,1,5,,,,,66.5,66.9,71.6,,66.5,,,,,0,1,16,28.6,100.2,13.3,2,0,0,1,2,1,6.3,166,12.8
Cam Miller,125299,QB,N DAK ST,1,3.18,2.86,3.38,6.85,31,250,83.3,12,12,5.5,1.74,0,0,0.0,83.3,10,1,0.0,12,38.7,0,5,,,,,65.8,55.7,70.7,,55.6,,,,,0,1,12,0.0,104.9,0.0,0,0,0,0,1,1,8.3,130,10.8,53.8,13,13,18.2,4.09,0,1,7.1,46.2,6,12,14.3,19,61.3,1,6,,,,,67.1,58.5,72.4,,56.8,,62.6,,,0,1,20,33.3,75.5,21.1,4,2,0,0,1,2,10.0,129,9.9
Will Howard,122599,QB,OHIO STATE,1,2.53,2.49,,6.0,31,260,94.1,17,17,5.8,2.08,0,2,10.5,94.1,16,2,0.0,17,54.8,0,9,,,,,67.0,79.3,72.2,,78.7,,,,,0,1,19,0.0,127.7,0.0,0,0,0,0,2,0,0.0,189,11.1,80.0,10,12,11.0,3.3,0,1,8.3,66.7,8,6,0.0,13,41.9,0,5,,,,,66.2,81.2,71.2,,84.2,,57.3,,,0,0,14,0.0,100.0,0.0,0,1,0,2,0,0,0.0,122,10.2
Quinn Ewers,127253,QB,TEXAS,1,2.64,2.38,3.8,4.6,28,311,73.3,15,15,3.9,1.91,0,0,0.0,66.7,10,2,9.1,15,53.6,1,6,,,,,66.5,61.9,71.6,,61.6,,,,,0,0,16,0.0,86.5,0.0,0,0,0,0,0,0,0.0,104,6.9,88.9,9,9,13.9,3.48,0,1,9.1,77.8,7,4,12.5,13,46.4,1,5,,,,,66.4,69.5,71.4,,69.7,,60.5,,,0,1,15,50.0,109.5,15.4,2,2,0,0,1,0,0.0,98,10.9
Drew Allar,164157,QB,PENN STATE,1,3.33,3.09,3.3,6.0,27,266,63.6,11,11,3.5,1.79,0,0,0.0,54.5,6,1,14.3,11,40.7,1,0,,,,,65.6,59.7,70.4,,59.5,,,,,0,0,11,0.0,60.0,0.0,0,0,0,0,0,0,0.0,32,2.9,63.6,11,11,6.8,4.38,0,0,0.0,63.6,7,10,0.0,16,59.3,0,7,,,,,66.5,58.1,71.6,,51.8,,68.2,,,0,0,16,30.0,91.1,18.8,3,2,0,0,0,0,0.0,95,8.6
Whitt Newbauer,188566,QB,MERCER,1,3.01,2.46,4.2,6.1,26,219,66.7,12,12,5.7,1.93,0,0,0.0,58.3,7,2,12.5,12,46.2,1,0,,,,,65.8,30.0,70.7,,30.4,,,,,0,0,12,0.0,63.2,0.0,0,0,0,0,0,2,16.7,31,2.6,80.0,5,8,22.4,3.94,0,1,12.5,37.5,3,9,25.0,14,53.8,1,2,,,,,66.2,62.7,71.2,,60.6,,62.4,,,2,1,14,44.4,64.6,28.6,4,2,0,1,1,1,7.1,60,7.5
Aidan Bouman,122508,QB,S DAKOTA,1,2.68,2.68,,,22,291,85.7,7,7,6.1,2.16,0,0,0.0,85.7,6,1,0.0,7,31.8,0,2,,,,,64.9,72.4,69.5,,72.0,,,,,0,0,8,0.0,128.3,0.0,0,0,0,0,1,0,0.0,37,5.3,53.3,15,15,16.1,2.93,0,3,20.0,53.3,8,0,0.0,15,68.2,0,8,,,,,66.4,89.5,71.4,,88.5,,,,,0,2,15,,98.6,0.0,0,0,0,0,2,1,6.7,216,14.4
Tommy Mellott,147646,QB,MONTANA ST,1,2.65,2.29,,4.25,22,233,90.9,11,11,6.3,1.94,0,0,0.0,90.9,10,0,0.0,11,50.0,0,7,,,,,65.6,80.8,70.4,,80.2,,,,,0,0,11,,158.3,0.0,0,0,0,0,2,1,9.1,149,13.5,66.7,6,7,16.0,3.36,0,1,14.3,28.6,2,5,50.0,11,50.0,2,4,,,,,65.6,83.5,70.4,,67.2,,78.9,,,0,1,11,0.0,2.4,0.0,0,4,0,1,0,1,9.1,25,3.6
Mark Gronowski,138303,QB,S DAK ST,1,2.81,2.51,,5.25,18,292,16.7,6,6,8.8,1.67,0,0,0.0,16.7,1,1,0.0,6,33.3,0,0,,,,,64.2,51.8,68.6,,51.8,,,,,0,1,6,0.0,0.0,0.0,0,0,0,0,0,0,0.0,-3,-0.5,60.0,10,10,21.6,3.38,0,2,18.2,60.0,6,3,0.0,12,66.7,0,6,,,,,66.0,87.5,71.4,,88.6,,61.6,,,0,0,13,0.0,143.8,0.0,0,2,0,0,3,0,0.0,177,17.7
Nick Josifek,175092,QB,IDAHO,1,3.11,2.2,3.7,4.43,9,185,50.0,2,4,19.0,2.0,2,0,0.0,25.0,1,1,0.0,4,44.4,0,0,,,,,63.3,48.4,67.4,,48.5,,,,,0,0,4,0.0,39.6,0.0,0,0,0,0,0,0,0.0,7,1.8,100.0,1,1,2.0,4.0,0,0,0.0,100.0,1,3,0.0,5,55.6,0,2,,,,,63.8,41.4,68.1,,58.9,,48.0,,,0,0,5,33.3,112.5,20.0,1,3,0,0,0,0,0.0,11,11.0
Ethan Grunkemeyer,183606,QB,PENN STATE,1,1.65,1.65,,,2,266,100.0,2,2,4.5,1.65,0,0,0.0,50.0,1,1,50.0,2,100.0,1,1,,,,,61.8,62.9,65.5,,62.7,,,,,0,1,2,0.0,22.9,0.0,0,0,0,0,0,0,0.0,9,4.5,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
RaJa Nelson,125301,WR,N DAK ST,1,3.2,3.2,,,1,250,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,38.0,3.2,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,,60.3,47.9,63.4,,50.1,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Chance Wilson,170708,QB,MONTANA ST,1,2.6,2.6,,,1,233,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,0.0,1,1,17.0,2.6,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,,60.3,55.2,63.6,,55.3,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0
Arch Manning,173162,QB,TEXAS,1,6.3,,,6.3,1,311,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,6.3,0,0,,,0,1,,1,100.0,0,1,,,,,60.3,64.7,63.6,,,,61.7,,,0,0,1,0.0,0.0,0.0,0,1,0,0,0,0,0.0,0,
Keldric Luster,175287,QB,SMU,1,2.3,2.3,,,1,287,0.0,1,1,35.0,2.3,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,,60.3,37.5,63.6,,38.3,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,1,100.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Julian Sayin,183708,QB,OHIO STATE,1,2.3,2.3,,,1,260,0.0,1,1,11.0,2.3,0,0,0.0,0.0,0,0,,1,100.0,0,0,,,,,60.3,48.1,63.6,,48.5,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
DJ Smith,185876,QB,MERCER,1,1.3,1.3,,,1,219,100.0,1,1,-1.0,1.3,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,,60.3,60.6,63.6,,60.4,,,,,0,0,1,,79.2,0.0,0,0,0,0,0,0,0.0,-1,-1.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Kyrin Beachem,102604,S,IDAHO,1,3.0,3.0,,,1,185,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,100.0,1,1,7.0,3.0,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,,60.3,61.9,60.0,,62.2,,,,,0,0,1,,95.8,0.0,0,0,0,0,0,0,0.0,7,7.0
Jon Bell,148223,QB,S DAK ST,1,1.7,1.7,,,1,292,100.0,1,1,29.0,1.7,0,1,100.0,100.0,1,0,0.0,1,100.0,0,1,,,,,60.3,90.3,63.6,,89.8,,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,29,29.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Cooper Hutton,142156,WR,UC DAVIS,1,4.6,,4.6,,1,322,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,,,0,0,,4.6,0,0,,,0,1,,1,100.0,0,0,,,,,21.3,21.9,63.4,,60.0,,,,,0,0,1,100.0,0.0,100.0,1,0,0,0,0,1,100.0,0,
Devin Brown,156479,QB,OHIO STATE,1,1.9,1.9,,,1,260,100.0,1,1,5.0,1.9,0,0,0.0,100.0,1,0,0.0,1,100.0,0,0,,,,,60.3,60.8,63.6,,60.6,,,,,0,0,1,,91.7,0.0,0,0,0,0,0,0,0.0,6,6.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
Tyler Warren,129798,TE,PENN STATE,1,2.1,2.1,,,1,266,100.0,1,1,0.0,2.1,0,0,0.0,0.0,0,0,100.0,1,100.0,1,0,,,,,60.3,60.6,63.6,,60.4,,,,,0,0,1,,39.6,0.0,0,0,0,0,0,0,0.0,0,0.0,,0,0,,,0,0,,,0,0,,0,0.0,0,0,,,,,,,,,,,,,,0,0,0,,0.0,,0,0,0,0,0,0,,0,
